id_arete;lstpoints;parent;highway;nomvoie;surface;dist
23542275-1;[8947020815, 255401133];23542275;service;Rue Tour de Sault;asphalt;19.0
23542275-2;[255401133, 5484526626, 1806155819, 255400854];23542275;service;Rue Tour de Sault;asphalt;35.4
23542275-3;[255400854, 5484526627, 6536947685];23542275;service;Rue Tour de Sault;asphalt;23.8
23542275-4;[6536947685, 255400853, 5484526631, 255400852, 5484526635];23542275;service;Rue Tour de Sault;asphalt;80.4
23577363-1;[254521787, 3914833051, 7770165934];23577363;secondary;Allées Paulmy;asphalt;32.2
23577363-2;[7770165934, 7593213502];23577363;secondary;Allées Paulmy;asphalt;8.0
23577381-1;[577898260, 4868225030, 10180904249];23577381;residential;Rue de Belfort;asphalt;81.3
23577381-2;[10180904249, 8108541813, 8108541814, 8108541815, 255321840];23577381;residential;Rue de Belfort;asphalt;33.3
23585215-1;[1837681174, 4109391672, 706302236];23585215;pedestrian;Rue Pannecau;paving_stones;14.3
23585215-2;[706302236, 597616388];23585215;pedestrian;Rue Pannecau;paving_stones;108.3
23585215-3;[597616388, 706302151];23585215;pedestrian;Rue Pannecau;paving_stones;14.1
23585215-4;[706302151, 5484528546, 597618542];23585215;pedestrian;Rue Pannecau;paving_stones;61.9
23585248-1;[255401133, 5484526625, 4109357220, 1804838595];23585248;pedestrian;Rue des Basques;sett;15.2
23585248-2;[1804838595, 5484526624, 5484526623, 388382478];23585248;pedestrian;Rue des Basques;sett;67.7
23585248-3;[388382478, 364415040];23585248;pedestrian;Rue des Basques;sett;77.8
23585263-1;[388382468, 388382302];23585263;pedestrian;Rue Poissonnerie;paving_stones;12.3
23585263-2;[388382302, 388382294];23585263;pedestrian;Rue Poissonnerie;paving_stones;16.3
23585263-3;[388382294, 364415029];23585263;pedestrian;Rue Poissonnerie;paving_stones;60.8
23585325;[255402679, 388382241];23585325;living_street;Rue Adolphe Thiers;concrete:plates;14.2
23585332;[255402704, 3668900018, 255402703];23585332;pedestrian;Rue Port Neuf;paving_stones;46.1
23585338-1;[255402215, 2502504417];23585338;pedestrian;Rue Orbe;paving_stones;5.1
23585338-2;[2502504417, 388382280];23585338;pedestrian;Rue Orbe;paving_stones;39.3
23585338-3;[388382280, 255402735];23585338;pedestrian;Rue Orbe;paving_stones;36.7
23585338-4;[255402735, 8074523115];23585338;pedestrian;Rue Orbe;paving_stones;29.1
23585338-5;[8074523115, 1828784582, 5487050111, 255402679];23585338;pedestrian;Rue Orbe;paving_stones;34.0
23585340;[388382241, 6256038960, 8254499980, 388189690];23585340;pedestrian;Place Jacques Portes;concrete:plates;53.4
23585367-1;[255402931, 1890041833, 3563697928];23585367;secondary;Avenue Duvergier de Hauranne;asphalt;34.6
23585367-2;[3563697928, 1797215396, 3513549740, 1797215395, 255402932];23585367;secondary;Avenue Duvergier de Hauranne;asphalt;75.0
23776407-1;[254920705, 5008960735];23776407;residential;Rue Marengo;asphalt;10.7
23776407-2;[5008960735, 257607801];23776407;residential;Rue Marengo;asphalt;69.7
24778994;[255402735, 1828784585];24778994;pedestrian;Rue de la Monnaie;sett;20.5
33881143;[388189690, 7055043849];33881143;pedestrian;Rue Albert 1er;asphalt;31.6
33881157;[388189759, 4119124865, 8294396070, 6043901034, 388189760];33881157;residential;Rue du 49e Régiment d'Infanterie;;34.0
33881166-1;[388189778, 1796035922];33881166;residential;Rue Jules Labat;asphalt;9.4
33881166-2;[1796035922, 6043931687];33881166;residential;Rue Jules Labat;asphalt;23.0
33881166-3;[6043931687, 388189779];33881166;residential;Rue Jules Labat;asphalt;35.4
33881166-4;[388189779, 388382243];33881166;residential;Rue Jules Labat;asphalt;10.4
33881168;[388382253, 1796035923, 388189779];33881168;residential;Rue du Temple;;38.5
33881170;[388189796, 3585243484, 3585243489, 388189795];33881170;residential;Rue André Bouillar;;38.6
33881281;[4867744975, 254935709, 570750540];33881281;residential;Quai de Lesseps;asphalt;139.2
33892685;[254920704, 8231858772, 388487692];33892685;residential;Pont Marengo;asphalt;15.1
33892687;[1806155778, 388324411, 1797205800, 254920454];33892687;tertiary;Pont du Génie;asphalt;11.5
33898644-1;[4014816148, 388382433, 388382428, 388382422];33898644;pedestrian;Rue Passemillon;asphalt;39.5
33898644-2;[388382422, 388382418];33898644;pedestrian;Rue Passemillon;asphalt;50.4
33898646;[269247897, 4868366910, 7531505242];33898646;residential;Rue des Gouverneurs;asphalt;45.9
33898649-1;[269247910, 2441501526, 388382398];33898649;residential;Rue des Prébendés;sett;36.7
33898649-2;[388382398, 2441501518];33898649;residential;Rue des Prébendés;sett;17.2
33898651-1;[4868366903, 4868366902];33898651;residential;Rue des Gouverneurs;paving_stones;20.3
33898651-2;[4868366902, 269247897];33898651;residential;Rue des Gouverneurs;paving_stones;7.6
33898653-1;[269247895, 10929143675];33898653;pedestrian;Rue Notre-Dame;paving_stones;3.1
33898653-2;[10929143675, 2441501539];33898653;pedestrian;Rue Notre-Dame;paving_stones;4.4
33898653-3;[2441501539, 269247897];33898653;pedestrian;Rue Notre-Dame;paving_stones;44.4
33898655;[269247914, 6256038969, 5480563762, 3563718669, 269247916];33898655;residential;Place du Château-Vieux;asphalt;86.4
33898657-1;[388382386, 7606578906, 2436291999, 7606578907, 388382395, 2436292000, 1797141976, 1797141977];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;59.3
33898657-2;[1797141977, 1797141978];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;73.2
33898657-3;[1797141978, 1797141979];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;29.0
33898657-4;[1797141979, 5790038515];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;9.8
33898657-5;[5790038515, 269247912];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;8.5
33898657-6;[269247912, 7606578901, 269247914];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;101.1
33898657-7;[269247914, 6256038970, 388382225, 8254491234];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;28.0
33898657-8;[8254491234, 5487050110, 388382226, 6256038972, 388382227, 6256038971, 388382229, 5487050109, 388382230, 5487050108, 5487050107, 388382232, 388382234, 5487050106, 388382236, 388382239, 1796035921];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;102.2
33898657-9;[1796035921, 388189778];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;6.9
33898658;[388189793, 712884540];33898658;residential;Rue de Gramont;;49.7
33898659-1;[255321717, 3668904712];33898659;residential;Place des Basques;asphalt;8.0
33898659-2;[3668904712, 8242420520];33898659;residential;Place des Basques;asphalt;11.4
33898659-3;[8242420520, 3668906279, 388382247];33898659;residential;Place des Basques;asphalt;13.7
33898660;[388382253, 5602458346, 388382255];33898660;living_street;Rue du Temple;;46.2
33898661;[388382259, 4109357226, 388382262];33898661;pedestrian;Rue Édouard Ducéré;paving_stones;33.5
33898663;[388314411, 4109357225, 388314412];33898663;pedestrian;Rue des Carmes;paving_stones;71.9
33898665;[388382272, 388382269, 3513549750, 388382274];33898665;pedestrian;Ruelle Port-Neuf;paving_stones;35.4
33898667;[388382280, 863337494, 388382282];33898667;pedestrian;Ruelle Gardin;asphalt;129.8
33898668-1;[1829826279, 2502504414];33898668;pedestrian;Rue Argenterie;paving_stones;2.6
33898668-2;[2502504414, 1829826278, 388382285, 10929143674];33898668;pedestrian;Rue Argenterie;paving_stones;67.0
33898668-3;[10929143674, 388382293];33898668;pedestrian;Rue Argenterie;paving_stones;1.6
33898671;[388382297, 388382294];33898671;pedestrian;Rue Gosse;;93.6
33898673-1;[1829826282, 2502504413];33898673;pedestrian;Rue de la Salie;paving_stones;3.3
33898673-2;[2502504413, 388382303];33898673;pedestrian;Rue de la Salie;paving_stones;43.6
33898673-3;[388382303, 388382307, 388382309, 388382312, 255401810];33898673;pedestrian;Rue de la Salie;paving_stones;94.9
33898676-1;[388382331, 5464791122, 6159080940];33898676;pedestrian;Rue Bernadou;;64.6
33898676-2;[6159080940, 6154744495];33898676;pedestrian;Rue Bernadou;;28.8
33898676-3;[6154744495, 388382328];33898676;pedestrian;Rue Bernadou;;4.3
33898677-1;[388382332, 4109357217, 10929144611];33898677;pedestrian;Rue de Luc;paving_stones;36.6
33898677-2;[10929144611, 388382335];33898677;pedestrian;Rue de Luc;paving_stones;44.8
33898679-1;[388382341, 2779738355];33898679;residential;Rue Sabaterie;asphalt;3.4
33898679-2;[2779738355, 2779738353];33898679;residential;Rue Sabaterie;asphalt;30.8
33898679-3;[2779738353, 388382339];33898679;residential;Rue Sabaterie;asphalt;6.1
33898679-4;[388382339, 4109357218];33898679;residential;Rue Sabaterie;asphalt;3.0
33898680-1;[388382386, 2436291997];33898680;residential;Rue des Faures;asphalt;9.0
33898680-2;[2436291997, 7636051503];33898680;residential;Rue des Faures;asphalt;1.8
33898682;[388382398, 388382401, 388382407, 388382341];33898682;residential;Rue Douer;paving_stones;93.7
33898683-1;[388382222, 5732084627];33898683;residential;Rue des Faures;asphalt;34.1
33898683-2;[5732084627, 388382223, 388382224, 269247910];33898683;residential;Rue des Faures;asphalt;109.3
33898684-1;[631661837, 631661834, 631661835, 2779738353];33898684;pedestrian;Place Montaut;asphalt;73.1
33898684-2;[2779738353, 2779738355];33898684;pedestrian;Place Montaut;asphalt;30.8
33898684-3;[2779738355, 631661837];33898684;pedestrian;Place Montaut;asphalt;30.0
33898685-1;[388382440, 388382450];33898685;pedestrian;Rue Lagréou;;81.0
33898685-2;[388382450, 388382297];33898685;pedestrian;Rue Lagréou;;4.3
33898685-3;[388382297, 4014816154];33898685;pedestrian;Rue Lagréou;;32.2
33898685-4;[4014816154, 4014816148];33898685;pedestrian;Rue Lagréou;;20.7
33898686;[388382450, 388382422];33898686;pedestrian;Rue Gosse;asphalt;31.2
33898687-1;[388382414, 388382452, 388386048, 388386051, 388382455, 388382418];33898687;pedestrian;Place des Victoires;;61.8
33898687-2;[388382418, 388382414];33898687;pedestrian;Place des Victoires;;18.7
33898688-1;[388382460, 388382463];33898688;pedestrian;Rue des Augustins;asphalt;25.1
33898688-2;[388382463, 388382466, 4109357221];33898688;pedestrian;Rue des Augustins;asphalt;65.2
33898689;[255400676, 4868369148];33898689;tertiary;Avenue de Pampelune;asphalt;15.6
33898690-1;[8887883469, 5422316982];33898690;residential;Rue de l'Abesque;asphalt;20.8
33898690-2;[5422316982, 388382473, 5487050098, 2441501537, 5487050099, 388382475, 5487050100, 269247910];33898690;residential;Rue de l'Abesque;asphalt;31.9
33898691;[388382478, 9887512373];33898691;footway;Ruelle des Basques;;2.9
