id_point;lat;lon;nom;equipement;bus;rue;numrue;tourism
10117183392;43.4970173;-1.4680763;Le Bocal;arts_centre;;;;
8118351110;43.4959379;-1.4712815;Le 7 bis;arts_centre;;;;
4215070236;43.4947366;-1.4665601;Centre Espagnol;arts_centre;;;;
6839862920;43.4949796;-1.4678853;Blom Sky;arts_centre;;;;
6641063885;43.4933567;-1.4771294;Crédit Mutuel;atm;;;;
4642006490;43.4907233;-1.4766382;Crédit Agricole;atm;;;;
863073752;43.492505;-1.4748136;;atm;;;;
1236224701;43.4932544;-1.4778005;;atm;;;;
1236225141;43.4926551;-1.4783746;;atm;;;;
2429841210;43.4890121;-1.4728283;;atm;;;;
2436292002;43.4896618;-1.4754543;;atm;;;;
2441529143;43.4927917;-1.4751501;;atm;;;;
4456239099;43.4906092;-1.4853945;;atm;;;;
4791844222;43.4896014;-1.4720385;;atm;;;;
4868366920;43.4923781;-1.4752159;;atm;;;;
1236237832;43.4926814;-1.4782351;Société Générale;bank;;;;
7549337876;43.4932815;-1.4660741;Société Générale;bank;;;;
2441529089;43.492548;-1.4749013;LCL;bank;;;;
4868225026;43.4926505;-1.4730021;Groupama;bank;;;;
631661855;43.4932829;-1.4771771;Crédit Mutuel;bank;;;;
6280711473;43.495072;-1.4692001;Crédit Mutuel;bank;;;;
4791424725;43.4939597;-1.4819797;Crédit Foncier;bank;;;;
631661840;43.4896445;-1.475355;Crédit Agricole;bank;;;;
4366487391;43.4923969;-1.4765227;Crédit Agricole;bank;;;;
6490876080;43.4958542;-1.4692833;Crédit Agricole;bank;;;;
2858019382;43.49471;-1.4791029;CIC Iberbanco;bank;;;;
2441529083;43.4928522;-1.4751795;CIC;bank;;;;
11701393160;43.4928909;-1.4765223;CCF;bank;;;;
1427014120;43.4915009;-1.4771842;Caisse d'Épargne;bank;;;;
6280711472;43.4948619;-1.4692953;Caisse d'Épargne;bank;;;;
631661858;43.4921661;-1.4745787;BNP Paribas;bank;;;;
4791412426;43.4941113;-1.4825333;BNP Paribas;bank;;;;
4867754112;43.4950973;-1.4698344;BNP Paribas;bank;;;;
4868225038;43.494716;-1.4689842;Banque Populaire;bank;;;;
6163187177;43.493389;-1.4759947;Banque Populaire;bank;;;;
4366305002;43.4929096;-1.4772724;Banque de France;bank;;;;
4791583023;43.4923555;-1.4720791;AXA;bank;;;;
9600072266;43.4898356;-1.4734523;Xupito Bar;bar;;Rue Pannecau;17;
4642074493;43.4898895;-1.4741117;Une Bouteille à la Nive;bar;;;;
11070585494;43.4913756;-1.4734631;Ttipiko Kideak;bar;;Rue Marsan;;
6583590650;43.4898031;-1.471984;Soinua;bar;;Rue Pannecau;63;
4868223514;43.4896257;-1.47414;Sankara Ostatua;bar;;;;
7825433159;43.4902984;-1.4738038;San Nicolas;bar;;;;
5478506696;43.4954551;-1.4689239;Relief Le Bar à Vins;bar;;;;
9975313610;43.4916432;-1.4734804;Peña Y;bar;;Rue Saubiole;;
11178949962;43.4914197;-1.4733374;Peña Muskerrak;bar;;Rue Marsan;;
11178984606;43.4909863;-1.4720204;Peña Les Mille Pattes;bar;;Rue Bourgneuf;;
4641773303;43.4893293;-1.4792106;Peña Cacao;bar;;Boulevard du Rempart Lachepaillet;;
8626811541;43.490816;-1.4721501;Peña BOC;bar;;Rue des Visitandines;;
9975313609;43.4916655;-1.4734307;Peña Astyanax;bar;;Rue Saubiole;;
4726498190;43.4901614;-1.4725799;Patxoki;bar;;;;
7825433158;43.4902713;-1.4735153;Paradox;bar;;;;
11578409669;43.4958162;-1.4704972;Ménage à trois;bar;;Rue Hugues;3;
9196167096;43.489722;-1.472727;L'Embuscade;bar;;;;
4868223509;43.4892492;-1.4735271;Le Zazpi;bar;;Rue des Cordeliers;13;
10596273529;43.488433;-1.477886;Le Vestiaire;bar;;;;
4791706121;43.4901997;-1.4737726;Le P'tit Pub;bar;;;;
8628583571;43.4917369;-1.4764186;Le Port Neuf;bar;;;;
6583590648;43.4894549;-1.4721845;Le Petit Vélo;bar;;;;
9196167092;43.4898361;-1.472814;Le Jean Bart;bar;;;;
8870140391;43.4908502;-1.4739191;Le Comptoir;bar;;;;
7013350154;43.4910999;-1.4726737;Le C.D.S.;bar;;;;
597620434;43.4898221;-1.4750211;Le Bistrot des Halles;bar;;;;
6490834389;43.4954964;-1.4704623;Le Bistrot;bar;;;;
8904846127;43.4949962;-1.4695803;Le Balto;bar;;;;
6583590647;43.4894808;-1.4721061;Le Bacchus;bar;;;;
6732273267;43.4900781;-1.4715939;La Treille;bar;;;;
9887468698;43.4888461;-1.4751917;La Karafe;bar;;;;
4868223512;43.4894315;-1.4741491;Kubata;bar;;;;
9975313608;43.4917459;-1.4732902;Koh-Lantak;bar;;Rue Saubiole;;
5706151227;43.4907852;-1.4726737;Kalostrape;bar;;;;
9196167095;43.4897266;-1.4728924;Jo's Bar;bar;;;;
4434052690;43.4899128;-1.4716873;Guernica;bar;;;;
8400091451;43.4957296;-1.4700989;Goyty Bar;bar;;;;
597621859;43.4896788;-1.4741399;Ginja's Bar;bar;;;;
7825433161;43.490133;-1.4732758;Dos Latinos Bar;bar;;;;
7825433157;43.4902569;-1.4733885;Corsaire 2.0;bar;;;;
11420393491;43.4897314;-1.4730625;Chez Brigitte;bar;;;;
4434082189;43.4896427;-1.4758553;Chai Ramina;bar;;;;
